PListReader::createAnimationWithPlist animation spiderQueen_layer_flyingDown_layer with file spiderQueen_layer_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation spiderQueen_layer_shootTowerFail_start_layer with file spiderQueen_layer_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation spiderQueen_layer_death_first_start_layer with file spiderQueen_layer_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation spiderQueen_layer_shootTower_start_layer with file spiderQueen_layer_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation tarantula_netSpit with file tarantula_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation tarantula_walkingDown with file tarantula_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation tarantula_attack with file tarantula_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation tarantula_death with file tarantula_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation tarantula_walkingUp with file tarantula_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation tarantula_walkingRightLeft with file tarantula_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation tarantula_idle with file tarantula_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation theBeheader_respawn with file theBeheader_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation theBeheader_special with file theBeheader_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation theBeheader_walkingDown with file theBeheader_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation theBeheader_attack with file theBeheader_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation theBeheader_walkingRightLeft with file theBeheader_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation theBeheader_idle with file theBeheader_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation theBeheader_death with file theBeheader_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation twilight_bannerbearer_idle with file twilight_bannerbearer_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation twilight_bannerbearer_death with file twilight_bannerbearer_animations.plist, frame not load!
PListReader::createAnimationWithPlist animation twilight_bannerbearer_walkingRightLeft with file twilight_bannerbearer_animations.plist, frame not load!
